src_vid,dst_vid
DB00125,SMP0000363
DB00125,SMP0000506
DB00125,SMP0063777
DB00126,SMP0000030
DB00126,SMP0000170
DB00126,SMP0002295
DB00126,SMP0000006
DB00126,SMP0000012
DB00126,SMP0000218
DB00126,SMP0000429
DB00126,SMP0000450
DB00126,SMP0000465
DB00126,SMP0002292
DB00126,SMP0000169
DB00126,SMP0000190
DB00126,SMP0000451
DB00126,SMP0000494
DB00126,SMP0000497
DB00126,SMP0000498
DB00126,SMP0000533
DB00127,SMP0000445
DB00128,SMP0000129
DB00128,SMP0000167
DB00128,SMP0000220
DB00128,SMP0000362
DB00128,SMP0000385
DB00128,SMP0000493
DB00128,SMP0000504
DB00128,SMP0000505
DB00128,SMP0000512
DB00128,SMP0000536
DB00128,SMP0000537
DB00128,SMP0000002
DB00128,SMP0000003
DB00128,SMP0000006
DB00128,SMP0000009
DB00128,SMP0000020
DB00128,SMP0000050
DB00128,SMP0000072
DB00128,SMP0000188
DB00128,SMP0000210
DB00128,SMP0000218
DB00128,SMP0000339
DB00128,SMP0000360
DB00128,SMP0000361
DB00128,SMP0000364
DB00128,SMP0000365
DB00128,SMP0000428
DB00128,SMP0000429
DB00128,SMP0000507
DB00128,SMP0000535
DB00129,SMP0000362
DB00129,SMP0000504
DB00129,SMP0000505
DB00129,SMP0000002
DB00129,SMP0000003
DB00129,SMP0000020
DB00129,SMP0000188
DB00129,SMP0000360
DB00129,SMP0000361
DB00129,SMP0000507
DB00129,SMP0000001
DB00129,SMP0000059
DB00129,SMP0000205
DB00129,SMP0000207
DB00129,SMP0000208
DB00129,SMP0000357
DB00129,SMP0000363
DB00129,SMP0000445
DB00129,SMP0000506
DB00130,SMP0000045
DB00130,SMP0000126
DB00130,SMP0000167
DB00130,SMP0000220
DB00130,SMP0000385
DB00130,SMP0000512
DB00130,SMP0000534
DB00130,SMP0000536
DB00130,SMP0000537
DB00130,SMP0002358
DB00130,SMP0000002
DB00130,SMP0000003
DB00130,SMP0000009
DB00130,SMP0000046
DB00130,SMP0000050
DB00130,SMP0000072
DB00130,SMP0000202
DB00130,SMP0000210
DB00130,SMP0000216
DB00130,SMP0000217
DB00130,SMP0000240
DB00130,SMP0000339
DB00130,SMP0000364
DB00130,SMP0000365
DB00130,SMP0000390
DB00130,SMP0000428
DB00130,SMP0000535
DB00130,SMP0002298
DB00130,SMP0002359
DB00130,SMP0000001
DB00131,SMP0000002
DB00131,SMP0000003
DB00131,SMP0000004
DB00131,SMP0000009
DB00131,SMP0000016
DB00131,SMP0000020
DB00131,SMP0000029
DB00131,SMP0000031
DB00131,SMP0000044
DB00131,SMP0000050
DB00131,SMP0000051
DB00131,SMP0000060
DB00131,SMP0000072
DB00131,SMP0000073
DB00131,SMP0000076
DB00131,SMP0000177
DB00131,SMP0000188
DB00131,SMP0000191
DB00131,SMP0000196
DB00131,SMP0000210
