src_vid,dst_vid
DB00098,BE0002099
DB00098,BE0003488
DB00098,BE0003575
DB00098,BE0003576
DB00098,BE0001155
DB00098,BE0000598
DB00098,BE0000793
DB00099,BE0000394
DB00099,BE0000216
DB00100,BE0001021
DB00100,BE0000333
DB00100,BE0000016
DB00100,BE0000048
DB00100,BE0002110
DB00100,BE0000403
DB00100,BE0000205
DB00102,BE0000852
DB00102,BE0000910
DB00102,BE0004830
DB00103,BE0010008
DB00104,BE0002638
DB00104,BE0000530
DB00104,BE0001032
DB00104,BE0001069
DB00104,BE0000385
DB00105,BE0000661
DB00105,BE0002433
DB00105,BE0000203
DB00106,BE0000844
DB00107,BE0002148
DB00107,BE0010031
DB00107,BE0000751
DB00107,BE0010032
DB00107,BE0000590
DB00108,BE0000901
DB00108,BE0001085
DB00108,BE0000710
DB00108,BE0000398
DB00109,BE0003536
DB00109,BE0003533
DB00109,BE0000686
DB00110,BE0000901
DB00110,BE0002093
DB00110,BE0002094
DB00110,BE0002095
DB00110,BE0002096
DB00110,BE0002097
DB00110,BE0000710
DB00110,BE0002099
DB00110,BE0000658
DB00111,BE0000651
DB00111,BE0000901
DB00111,BE0002093
DB00111,BE0002094
DB00111,BE0002095
DB00111,BE0002096
DB00111,BE0002097
DB00111,BE0000710
DB00111,BE0002098
DB00111,BE0002099
DB00111,BE0002100
DB00111,BE0000163
DB00112,BE0002094
DB00112,BE0002095
DB00112,BE0002096
DB00112,BE0002097
DB00112,BE0000710
DB00112,BE0002098
DB00112,BE0002099
DB00112,BE0002100
DB00112,BE0000107
DB00113,BE0000102
DB00114,BE0000378
DB00114,BE0000323
DB00114,BE0000392
DB00114,BE0000331
DB00114,BE0000151
DB00114,BE0000529
DB00114,BE0000424
DB00114,BE0000404
DB00114,BE0000727
DB00114,BE0000253
DB00114,BE0000181
DB00114,BE0000778
DB00114,BE0000692
DB00114,BE0000273
DB00114,BE0000007
DB00114,BE0000079
DB00114,BE0000002
DB00114,BE0000448
DB00114,BE0000164
DB00114,BE0000518
DB00114,BE0000618
DB00114,BE0000667
DB00114,BE0000603
DB00114,BE0000409
DB00114,BE0000316
DB00114,BE0000278
DB00114,BE0000441
DB00114,BE0000791
DB00114,BE0000517
DB00114,BE0000721
DB00114,BE0002149
DB00114,BE0000383
DB00114,BE0002150
DB00114,BE0000916
DB00114,BE0002151
DB00114,BE0002152
DB00114,BE0002154
DB00114,BE0002155
DB00114,BE0002156
DB00114,BE0002158
DB00114,BE0002159
DB00114,BE0002160
DB00114,BE0002162
DB00114,BE0002163
DB00114,BE0004605
DB00114,BE0004612
DB00114,BE0002164
DB00114,BE0002165
DB00114,BE0000292
DB00114,BE0000898
DB00114,BE0002166
DB00114,BE0002167
DB00114,BE0002168
DB00114,BE0002170
DB00114,BE0000388
DB00114,BE0002171
DB00114,BE0002172
DB00114,BE0002173
DB00114,BE0002174
DB00114,BE0000734
DB00115,BE0000777
DB00115,BE0000763
DB00115,BE0000320
